Column,Row,%,Region_Code,Region_Name
28,59,4,A,Seoul
29,59,44.2,A,Seoul
30,59,56.5,A,Seoul
31,59,56.1,A,Seoul
32,59,1.7,A,Seoul
28,60,31,A,Seoul
29,60,97.5,A,Seoul
30,60,100,A,Seoul
31,60,90.8,A,Seoul
32,60,14.8,A,Seoul
28,61,4.8,A,Seoul
29,61,27.6,A,Seoul
30,61,89.85,A,Seoul
31,61,61.8,A,Seoul
30,62,16.7,A,Seoul
31,62,16.3,A,Seoul
18,53,100,B,Incheon
19,53,100,B,Incheon
20,54,100,B,Incheon
21,54,100,B,Incheon
20,55,100,B,Incheon
21,55,100,B,Incheon
22,55,100,B,Incheon
23,55,100,B,Incheon
20,56,100,B,Incheon
21,56,100,B,Incheon
22,56,100,B,Incheon
23,56,100,B,Incheon
24,56,100,B,Incheon
25,56,100,B,Incheon
21,57,100,B,Incheon
22,57,100,B,Incheon
23,57,100,B,Incheon
24,57,100,B,Incheon
25,57,100,B,Incheon
24,58,100,B,Incheon
25,58,100,B,Incheon
26,58,100,B,Incheon
28,58,6,B,Incheon
23,59,100,B,Incheon
24,59,100,B,Incheon
25,59,100,B,Incheon
26,59,100,B,Incheon
27,59,100,B,Incheon
28,59,35,B,Incheon
23,60,100,B,Incheon
24,60,100,B,Incheon
25,60,100,B,Incheon
26,60,100,B,Incheon
27,60,100,B,Incheon
28,60,34,B,Incheon
17,61,100,B,Incheon
18,61,100,B,Incheon
20,61,100,B,Incheon
22,61,100,B,Incheon
23,61,100,B,Incheon
24,61,100,B,Incheon
25,61,100,B,Incheon
27,61,42.6,B,Incheon
28,61,2,B,Incheon
17,62,100,B,Incheon
18,62,100,B,Incheon
22,62,100,B,Incheon
23,62,100,B,Incheon
24,62,100,B,Incheon
25,62,100,B,Incheon
8,63,100,B,Incheon
9,63,100,B,Incheon
18,63,100,B,Incheon
22,63,100,B,Incheon
23,63,100,B,Incheon
24,63,100,B,Incheon
25,63,100,B,Incheon
8,64,100,B,Incheon
18,64,100,B,Incheon
7,65,100,B,Incheon
8,65,100,B,Incheon
9,65,100,B,Incheon
19,54,100,B,Incheon
19,55,100,B,Incheon
19,56,100,B,Incheon
19,61,100,B,Incheon
19,62,100,B,Incheon
19,63,100,B,Incheon
49,30,100,C,Busan
50,30,100,C,Busan
51,30,100,C,Busan
49,31,100,C,Busan
50,31,100,C,Busan
51,31,100,C,Busan
52,31,100,C,Busan
49,32,52.6,C,Busan
50,32,100,C,Busan
51,32,100,C,Busan
52,32,100,C,Busan
53,32,100,C,Busan
50,33,17.2,C,Busan
51,33,90,C,Busan
52,33,100,C,Busan
53,33,100,C,Busan
52,34,83,C,Busan
53,34,70,C,Busan
52,35,3,C,Busan
53,35,3.5,C,Busan
44,37,13,D,Daegu
45,37,9.4,D,Daegu
44,38,42.6,D,Daegu
45,38,88.5,D,Daegu
46,38,7,D,Daegu
47,38,5,D,Daegu
44,39,33.3,D,Daegu
45,39,98.5,D,Daegu
46,39,94.1,D,Daegu
47,39,51,D,Daegu
44,40,26.6,D,Daegu
45,40,86.6,D,Daegu
46,40,100,D,Daegu
47,40,85,D,Daegu
48,40,5.5,D,Daegu
44,41,10.5,D,Daegu
45,41,33.9,D,Daegu
46,41,98,D,Daegu
47,41,95.7,D,Daegu
48,41,3.9,D,Daegu
45,42,0.4,D,Daegu
46,42,18.7,D,Daegu
